time_s,injected_current_A,voltage_Node_1_V,voltage_Node_2_V,i1_Line_1_e1_A,i2_Line_1_e1_A
0.0000000000000000e+00,0.0000000000000000e+00,1.2418785704782425e+05,-2.5251409318543956e+03,3.1378475450443707e+03,1.2911128459967356e+03
4.9999999999999998e-07,2.2614786493895161e+04,3.9476814618933306e+05,1.3751577142370434e+05,1.7521574296413484e+04,3.8682671503289248e+03
9.9999999999999995e-07,2.9029718933305398e+04,4.6185380151793454e+05,3.2288629340652988e+05,2.7538350846009467e+04,4.3213148444364633e+03
1.5000000000000000e-06,3.0732256715991549e+04,4.2716402258159354e+05,4.0123707168757764e+05,2.9129368547568218e+04,3.8695916343487561e+03
1.9999999999999999e-06,3.1064847318565746e+04,4.2461383242715488e+05,4.1586150689792656e+05,2.9189309291461421e+04,3.7989039581825482e+03
2.5000000000000002e-06,3.1000019451901466e+04,4.2197198347621772e+05,4.2057288267770299e+05,2.9063655568448288e+04,3.7423860021056344e+03
3.0000000000000001e-06,3.0820736895284379e+04,4.2181090794251155e+05,4.2110543149082962e+05,2.8907855940206435e+04,3.7225674287589736e+03
3.4999999999999999e-06,3.0609323770872070e+04,4.2017875227443856e+05,4.2112938039313641e+05,2.8746848454169180e+04,3.6924566153823844e+03
3.9999999999999998e-06,3.0389725012052957e+04,4.1862125574001530e+05,4.2005133535706688e+05,2.8563674840007141e+04,3.6675711710493615e+03
4.5000000000000001e-06,3.0168899275115735e+04,4.1627311385654029e+05,4.1859393583985569e+05,2.8365010353190926e+04,3.6370227211034326e+03
5.0000000000000004e-06,2.9948862854964758e+04,4.1398270837425190e+05,4.1654468716428336e+05,2.8154358103993043e+04,3.6093898362712534e+03
5.4999999999999999e-06,2.9730194050641654e+04,4.1142882337118255e+05,4.1433498854228907e+05,2.7942353332069473e+04,3.5803668024413264e+03
6.0000000000000002e-06,2.9513052814928211e+04,4.0901578015801014e+05,4.1191652027114079e+05,2.7732663889829491e+04,3.5540055134347281e+03
6.4999999999999996e-06,2.9297477436926893e+04,4.0650934553581540e+05,4.0951240463535977e+05,2.7528768241267833e+04,3.5273716847905534e+03
6.9999999999999999e-06,2.9083470866062384e+04,4.0408120753949793e+05,4.0704918864053907e+05,2.7328965435652193e+04,3.5022330479155048e+03
7.5000000000000002e-06,2.8871025828961963e+04,4.0155751516166993e+05,4.0460834962967952e+05,2.7132204485996546e+04,3.4765506108201339e+03
7.9999999999999996e-06,2.8660132137168359e+04,3.9904335943846841e+05,4.0210985972465365e+05,2.6936033993521989e+04,3.4514547041028331e+03
8.4999999999999999e-06,2.8450778812999342e+04,3.9644526099361025e+05,3.9959696192316478e+05,2.6740108878582345e+04,3.4258380065927909e+03
9.0000000000000002e-06,2.8242954707669207e+04,3.9385777525992820e+05,3.9702691121378634e+05,2.6544094628995295e+04,3.4006998126229446e+03
9.5000000000000005e-06,2.8036648680713315e+04,3.9123367210792413e+05,3.9444734906730207e+05,2.6349090135150785e+04,3.3754362765573355e+03
1.0000000000000001e-05,2.7831849651770037e+04,3.8864235076552053e+05,3.9184290971663920e+05,2.6155578672295276e+04,3.3507652100707828e+03
1.0499999999999999e-05,2.7628546615226140e+04,3.8604196098778013e+05,3.8925222951805638e+05,2.5964276663907880e+04,3.3261669658331739e+03
1.1000000000000000e-05,2.7426728644059862e+04,3.8347046997761581e+05,3.8665941778234451e+05,2.5774932067525733e+04,3.3020413755515719e+03
1.1500000000000000e-05,2.7226384890543894e+04,3.8088730420374603e+05,3.8408358945097355e+05,2.5587376358330435e+04,3.2779167919191450e+03
1.2000000000000000e-05,2.7027504586037710e+04,3.7831819859969511e+05,3.8150461574960215e+05,2.5400999635778746e+04,3.2540756478302255e+03
1.2500000000000001e-05,2.6830077040518012e+04,3.7573617717559729e+05,3.7893368623571855e+05,2.5215673571704767e+04,3.2302039585995435e+03
1.2999999999999999e-05,2.6634091642035884e+04,3.7316798586405942e+05,3.7635737994463113e+05,2.5031249506982749e+04,3.2065889479830385e+03
1.3499999999999999e-05,2.6439537856155664e+04,3.7059842794011522e+05,3.7378944269245351e+05,2.4848031538060459e+04,3.1830403869554029e+03
1.4000000000000000e-05,2.6246405225391387e+04,3.6805037911130709e+05,3.7122410011700582e+05,2.4666163062427418e+04,3.1597977770710222e+03
1.4500000000000000e-05,2.6054683368645452e+04,3.6550954388767772e+05,3.6867425998887233e+05,2.4485896293314778e+04,3.1366848391466874e+03
1.5000000000000000e-05,2.5864361980650883e+04,3.6298982380241563e+05,3.6613406878414378e+05,2.4307151493591155e+04,3.1138495187759308e+03
1.5500000000000001e-05,2.5675430831417441e+04,3.6047582151046331e+05,3.6361068851038220e+05,2.4129873028154638e+04,3.0911138323670020e+03
1.5999999999999999e-05,2.5487879765681802e+04,3.5797739556929900e+05,3.6109618631639844e+05,2.3953819680423960e+04,3.0685872663094569e+03
1.6500000000000001e-05,2.5301698702361675e+04,3.5548324178757030e+05,3.5859492589478299e+05,2.3778928986625884e+04,3.0461395365631661e+03
1.7000000000000000e-05,2.5116877634013981e+04,3.5300431996441749e+05,3.5610103730689926e+05,2.3605124479923245e+04,3.0238895092554549e+03
1.7499999999999998e-05,2.4933406626296870e+04,3.5053386764844070e+05,3.5362018957371323e+05,2.3432526008742247e+04,3.0017537027367734e+03
1.8000000000000000e-05,2.4751275817435820e+04,3.4808202188137861e+05,3.5114959775863925e+05,2.3261190427964244e+04,2.9798390635872256e+03
1.8499999999999999e-05,2.4570475417693488e+04,3.4564222918626503e+05,3.4869500880285806e+05,2.3091230941478592e+04,2.9580653180241679e+03
1.9000000000000001e-05,2.4390995708843537e+04,3.4322100230443222e+05,3.4625360309201211e+05,2.2922610003831622e+04,2.9365022988502733e+03
1.9500000000000000e-05,2.4212827043648267e+04,3.4081088203373435e+05,3.4382875843670592e+05,2.2755300151082905e+04,2.9150642067734789e+03
2.0000000000000002e-05,2.4035959845340058e+04,3.3841659806029138e+05,3.4141652799097716e+05,2.2589179728846510e+04,2.8938040670712671e+03
2.0500000000000000e-05,2.3860384607106607e+04,3.3603234577167372e+05,3.3901900432711432e+05,2.2424211861275046e+04,2.8726554817719957e+03
2.0999999999999999e-05,2.3686091891579930e+04,3.3366359989608161e+05,3.3663308149912348e+05,2.2260350774649956e+04,2.8516782935536958e+03
2.1500000000000001e-05,2.3513072330329087e+04,3.3130674551657413e+05,3.3426158534574299e+05,2.2097652753044847e+04,2.8308283882905944e+03
2.1999999999999999e-05,2.3341316623356633e+04,3.2896709536597971e+05,3.3190293902939151e+05,2.1936143356667410e+04,2.8101621609116291e+03
2.2500000000000001e-05,2.3170815538598712e+04,3.2664108394368162e+05,3.2956015019517718e+05,2.1775880633506185e+04,2.7896362481785422e+03
2.3000000000000000e-05,2.3001559911428845e+04,3.2433223832565302e+05,3.2723162031909288e+05,2.1616841963785097e+04,2.7692887240669606e+03
2.3499999999999999e-05,2.2833540644165296e+04,3.2203636600705254e+05,3.2491917235156120e+05,2.1459009904639053e+04,2.7490716062983765e+03
2.4000000000000001e-05,2.2666748705582082e+04,3.1975606165555038e+05,3.2262053676243336e+05,2.1302312948390725e+04,2.7290142498339342e+03
2.4499999999999999e-05,2.2501175130423529e+04,3.1748793366199080e+05,3.2033684562932712e+05,2.1146726218083666e+04,2.7090781234522674e+03
2.5000000000000001e-05,2.2336811018922377e+04,3.1523507232798717e+05,3.1806623755798233e+05,2.0992219014310438e+04,2.6892972535939730e+03
2.5500000000000000e-05,2.2173647536321401e+04,3.1299529989549634e+05,3.1581029317393200e+05,2.0838820280884545e+04,2.6696453528518878e+03
2.5999999999999998e-05,2.2011675912398550e+04,3.1077171583941905e+05,3.1356801491990383e+05,2.0686541792609976e+04,2.6501555130318156e+03
2.6500000000000000e-05,2.1850887440995517e+04,3.0856214759193175e+05,3.1134114608408418e+05,2.0535415652065523e+04,2.6308015203979771e+03
2.6999999999999999e-05,2.1691273479549793e+04,3.0636869428191870e+05,3.0912867421025754e+05,2.0385425895824650e+04,2.6116061917796642e+03
2.7500000000000001e-05,2.1532825448630101e+04,3.0418874975159485e+05,3.0693167151373927e+05,2.0236559584692011e+04,2.5925398622550056e+03
2.8000000000000000e-05,2.1375534831475255e+04,3.0202386772158882e+05,3.0474869620697375e+05,2.0088769970040288e+04,2.5736202831724290e+03
2.8500000000000002e-05,2.1219393173536377e+04,2.9987187991157244e+05,3.0258040823787171e+05,1.9942038628753078e+04,2.5548229887569623e+03
2.9000000000000000e-05,2.1064392082022438e+04,2.9773467973081983e+05,3.0042558898100053e+05,1.9796343171248242e+04,2.5361689853134867e+03
2.9499999999999999e-05,2.0910523225449153e+04,2.9561083910673868e+05,2.9828519162517961e+05,1.9651699029312982e+04,2.5176412237266045e+03
3.0000000000000001e-05,2.0757778333191141e+04,2.9350230458099360e+05,2.9615853166894941e+05,1.9508111108981149e+04,2.4992606116870484e+03
3.0499999999999999e-05,2.0606149195037382e+04,2.9140764053953747e+05,2.9404669159193942e+05,1.9365597849827835e+04,2.4810099796508966e+03
3.1000000000000001e-05,2.0455627660749906e+04,2.8932818062505958e+05,2.9194897628527530e+05,1.9224146793333115e+04,2.4629039356052817e+03
3.1500000000000000e-05,2.0306205639625703e+04,2.8726218180973793e+05,2.8986605355028709e+05,1.9083747411046941e+04,2.4449227576319709e+03
3.1999999999999999e-05,2.0157875100061836e+04,2.8521063242612407e+05,2.8779693789789412e+05,1.8944366659881096e+04,2.4270778651601563e+03
3.2499999999999997e-05,2.0010628069123744e+04,2.8317205085286347e+05,2.8574203215014690e+05,1.8805989972082327e+04,2.4093526580584721e+03
3.3000000000000003e-05,1.9864456632116682e+04,2.8114766642459610e+05,2.8370048390618654e+05,1.8668599976204554e+04,2.3917608896999627e+03
3.3500000000000001e-05,1.9719352932160295e+04,2.7913648123848415e+05,2.8167289789632749e+05,1.8532204772320016e+04,2.3742907814030932e+03
3.4000000000000000e-05,1.9575309169766311e+04,2.7713978449816350e+05,2.7965877451629215e+05,1.8396805560094170e+04,2.3569562722524306e+03
3.4499999999999998e-05,1.9432317602419291e+04,2.7515656778745842e+05,2.7765881907328573e+05,1.8262412993834500e+04,2.3397454180533236e+03
3.4999999999999997e-05,1.9290370544160483e+04,2.7318771924154024e+05,2.7567252425267687e+05,1.8129016713218232e+04,2.3226680335226856e+03
3.5500000000000002e-05,1.9149460365174677e+04,2.7123200630705908e+05,2.7370032218084339e+05,1.7996607671794132e+04,2.3057102633668073e+03
3.6000000000000001e-05,1.9009579491380096e+04,2.6929008526522253e+05,2.7174150040708343e+05,1.7865161092581962e+04,2.2888797919220451e+03
3.6500000000000000e-05,1.8870720404021293e+04,2.6736089035437128e+05,2.6979631104077364e+05,1.7734664911640604e+04,2.2721647663395825e+03
3.6999999999999998e-05,1.8732875639264985e+04,2.6544525434842322e+05,2.6786412643790507e+05,1.7605105019642360e+04,2.2555745928325723e+03
3.7499999999999997e-05,1.8596037787798898e+04,2.6354244462111394e+05,2.6594534357246291e+05,1.7476485272728358e+04,2.2391007250532593e+03
3.8000000000000002e-05,1.8460199494433462e+04,2.6165334951126514e+05,2.6403957985947328e+05,1.7348804768151494e+04,2.2227528400233000e+03
3.8500000000000001e-05,1.8325353457706511e+04,2.5977722606568036e+05,2.6214731079183740e+05,1.7222069465983055e+04,2.2065222288398663e+03
3.8999999999999999e-05,1.8191492429490794e+04,2.5791468662049764e+05,2.6026814809612761e+05,1.7096270397315719e+04,2.1904157292138498e+03
