solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,10,30,1.0000000000000000e+02,4.2792537408978202e+00,-1.3623492482719128e-02,4.2792754268141486e+00,-1.8240703441333264e-01
mHEM,10,30,1.0292005271944286e+02,4.2790035443693073e+00,-1.3767051882358491e-02,4.2790256910239073e+00,-1.8433993787173172e-01
mHEM,10,30,1.0592537251772886e+02,4.2787497400301291e+00,-1.3911124535598972e-02,4.2787723539811910e+00,-1.8628009681466637e-01
mHEM,10,30,1.0901844923851279e+02,4.2784922764579330e+00,-1.4055671179953565e-02,4.2785153641891371e+00,-1.8822699391339751e-01
mHEM,10,30,1.1220184543019630e+02,4.2782311015108396e+00,-1.4200652080976360e-02,4.2782546694246912e+00,-1.9018010555529274e-01
mHEM,10,30,1.1547819846894582e+02,4.2779661623456171e+00,-1.4346024702604404e-02,4.2779902167488482e+00,-1.9213887063776286e-01
mHEM,10,30,1.1885022274370189e+02,4.2776974053698762e+00,-1.4491746737969031e-02,4.2777219524685899e+00,-1.9410273115090737e-01
mHEM,10,30,1.2232071190499313e+02,4.2774247763082611e+00,-1.4637769104206977e-02,4.2774498221791131e+00,-1.9607103834001982e-01
mHEM,10,30,1.2589254117941675e+02,4.2771482200874393e+00,-1.4784046894811966e-02,4.2771737706854669e+00,-1.9804319939251117e-01
mHEM,10,30,1.2956866975170189e+02,4.2768676809345800e+00,-1.4930527449576408e-02,4.2768937420600777e+00,-2.0001851762696241e-01
mHEM,10,30,1.3335214321633239e+02,4.2765831022901963e+00,-1.5077159425423960e-02,4.2766096795862003e+00,-2.0199631398493345e-01
mHEM,10,30,1.3724609610075626e+02,4.2762944268397627e+00,-1.5223888189256749e-02,4.2763215257733389e+00,-2.0397586530306178e-01
mHEM,10,30,1.4125375446227540e+02,4.2760015965369149e+00,-1.5370652079229625e-02,4.2760292223664216e+00,-2.0595635419651956e-01
mHEM,10,30,1.4537843856076620e+02,4.2757045524483575e+00,-1.5517397739977044e-02,4.2757327102451379e+00,-2.0793707452300170e-01
mHEM,10,30,1.4962356560944329e+02,4.2754032349592919e+00,-1.5664058423079528e-02,4.2754319295512895e+00,-2.0991714060871414e-01
mHEM,10,30,1.5399265260594919e+02,4.2750975835998721e+00,-1.5810570120380833e-02,4.2751268195726073e+00,-2.1189570340683075e-01
mHEM,10,30,1.5848931924611142e+02,4.2747875371225694e+00,-1.5956863087157519e-02,4.2748173187889593e+00,-2.1387183688482039e-01
mHEM,10,30,1.6311729092278381e+02,4.2744730334398220e+00,-1.6102867397354517e-02,4.2745033648299602e+00,-2.1584461245453027e-01
mHEM,10,30,1.6788040181225605e+02,4.2741540096408723e+00,-1.6248509704992968e-02,4.2741848944795056e+00,-2.1781305554906211e-01
mHEM,10,30,1.7278259805078628e+02,4.2738304020204536e+00,-1.6393710307675672e-02,4.2738618436926528e+00,-2.1977610622892749e-01
mHEM,10,30,1.7782794100389228e+02,4.2735021459846889e+00,-1.6538390577049599e-02,4.2735341475292579e+00,-2.2173271876534742e-01
mHEM,10,30,1.8302061063110568e+02,4.2731691761146484e+00,-1.6682466831658253e-02,4.2732017401938718e+00,-2.2368177947899340e-01
mHEM,10,30,1.8836490894898000e+02,4.2728314261132407e+00,-1.6825853231360599e-02,4.2728645549932747e+00,-2.2562214551700352e-01
mHEM,10,30,1.9386526359522077e+02,4.2724888288568508e+00,-1.6968457597372113e-02,4.2725225243712659e+00,-2.2755258877292356e-01
mHEM,10,30,1.9952623149688787e+02,4.2721413163355191e+00,-1.7110185020959207e-02,4.2721755798623766e+00,-2.2947184424010431e-01
mHEM,10,30,2.0535250264571459e+02,4.2717888196312765e+00,-1.7250939278348934e-02,4.2718236520756285e+00,-2.3137862896130140e-01
mHEM,10,30,2.1134890398366477e+02,4.2714312689688851e+00,-1.7390617723275950e-02,4.2714666707244637e+00,-2.3327157349508726e-01
mHEM,10,30,2.1752040340195222e+02,4.2710685936660262e+00,-1.7529114330577102e-02,4.2711045645885912e+00,-2.3514926269538805e-01
mHEM,10,30,2.2387211385683401e+02,4.2707007221451549e+00,-1.7666318573690148e-02,4.2707372615209067e+00,-2.3701022061524976e-01
mHEM,10,30,2.3040929760558447e+02,4.2703275818849002e+00,-1.7802118018211650e-02,4.2703646884092787e+00,-2.3885294526290138e-01
mHEM,10,30,2.3713737056616552e+02,4.2699490994961042e+00,-1.7936392008977450e-02,4.2699867712260993e+00,-2.4067582385932146e-01
mHEM,10,30,2.4406190680419814e+02,4.2695652006358857e+00,-1.8069017673383717e-02,4.2696034349668395e+00,-2.4247721333400010e-01
mHEM,10,30,2.5118864315095797e+02,4.2691758100060708e+00,-1.8199869023259419e-02,4.2692146036447332e+00,-2.4425542823597057e-01
mHEM,10,30,2.5852348395621914e+02,4.2687808514272190e+00,-1.8328810904014080e-02,4.2688202003388298e+00,-2.4600865947371828e-01
mHEM,10,30,2.6607250597988087e+02,4.2683802477440969e+00,-1.8455705584719831e-02,4.2684201471271059e+00,-2.4773506269752360e-01
mHEM,10,30,2.7384196342643611e+02,4.2679739208398484e+00,-1.8580411066506538e-02,4.2680143650934994e+00,-2.4943273554674122e-01
mHEM,10,30,2.8183829312644548e+02,4.2675617916542281e+00,-1.8702778846500817e-02,4.2676027743363871e+00,-2.5109968757251749e-01
mHEM,10,30,2.9006811986931530e+02,4.2671437801665393e+00,-1.8822654922125058e-02,4.2671852939557597e+00,-2.5273385365104095e-01
mHEM,10,30,2.9853826189179603e+02,4.2667198053803927e+00,-1.8939880447017041e-02,4.2667618420409461e+00,-2.5433310272389692e-01
mHEM,10,30,3.0725573652674456e+02,4.2662897853484880e+00,-1.9054288645274579e-02,4.2663323356818585e+00,-2.5589519628960472e-01
mHEM,10,30,3.1622776601683796e+02,4.2658536371287568e+00,-1.9165708755632390e-02,4.2658966909428022e+00,-2.5741784129041972e-01
mHEM,10,30,3.2546178349804603e+02,4.2654112767957306e+00,-1.9273963501120005e-02,4.2654548228630000e+00,-2.5889865605722118e-01
mHEM,10,30,3.3496543915782757e+02,4.2649626194539065e+00,-1.9378868365895315e-02,4.2650066454670705e+00,-2.6033516050777905e-01
mHEM,10,30,3.4474660657314945e+02,4.2645075792220268e+00,-1.9480232229437875e-02,4.2645520717526502e+00,-2.6172478457387699e-01
mHEM,10,30,3.5481338923357532e+02,4.2640460692128315e+00,-1.9577858190603037e-02,4.2640910136746299e+00,-2.6306487918193505e-01
mHEM,10,30,3.6517412725483769e+02,4.2635780015617311e+00,-1.9671541423738184e-02,4.2636233821648819e+00,-2.6435268735102158e-01
mHEM,10,30,3.7583740428844430e+02,4.2631032874161008e+00,-1.9761069343676902e-02,4.2631490871232236e+00,-2.6558534630136560e-01
mHEM,10,30,3.8681205463305207e+02,4.2626218369133442e+00,-1.9846223200685766e-02,4.2626680374040182e+00,-2.6675990878135769e-01
mHEM,10,30,3.9810717055349733e+02,4.2621335592165330e+00,-1.9926775204767717e-02,4.2621801408398792e+00,-2.6787330430422196e-01
mHEM,10,30,4.0973210981354134e+02,4.2616383624776892e+00,-2.0002490460921254e-02,4.2616853042154768e+00,-2.6892236503838335e-01
mHEM,10,30,4.2169650342858228e+02,4.2611361538741619e+00,-2.0073125220397073e-02,4.2611834332975622e+00,-2.6990380217251791e-01
mHEM,10,30,4.3401026364474399e+02,4.2606268395788822e+00,-2.0138427792318503e-02,4.2606744328115331e+00,-2.7081421803886446e-01
mHEM,10,30,4.4668359215096302e+02,4.2601103247986289e+00,-2.0198136591789782e-02,4.2601582064728136e+00,-2.7165007972475896e-01
mHEM,10,30,4.5972698853087229e+02,4.2595865137299063e+00,-2.0251982761968098e-02,4.2596346569577408e+00,-2.7240775418848279e-01
mHEM,10,30,4.7315125896148027e+02,4.2590553096142907e+00,-2.0299686648102187e-02,4.2591036859451652e+00,-2.7308346068393491e-01
mHEM,10,30,4.8696752516586309e+02,4.2585166147141340e+00,-2.0340959526436681e-02,4.2585651941036176e+00,-2.7367329384917671e-01
mHEM,10,30,5.0118723362727246e+02,4.2579703303182876e+00,-2.0375503002203633e-02,4.2580190810978547e+00,-2.7417321544054729e-01
mHEM,10,30,5.1582216507230555e+02,4.2574163567823478e+00,-2.0403007556915063e-02,4.2574652456262339e+00,-2.7457903460429034e-01
mHEM,10,30,5.3088444423098849e+02,4.2568545934861168e+00,-2.0423154303270099e-02,4.2569035853910933e+00,-2.7488643130444168e-01
mHEM,10,30,5.4638654988185397e+02,4.2562849388831436e+00,-2.0435613007568739e-02,4.2563339971438428e+00,-2.7509092951344366e-01
mHEM,10,30,5.6234132519034904e+02,4.2557072905072957e+00,-2.0440042108705286e-02,4.2557563766971382e+00,-2.7518789725756232e-01
mHEM,10,30,5.7876198834912088e+02,4.2551215449809430e+00,-2.0436088215470577e-02,4.2551706189367495e+00,-2.7517253963082916e-01
mHEM,10,30,5.9566214352901034e+02,4.2545275980145885e+00,-2.0423387025803891e-02,4.2545766178323063e+00,-2.7503991094556746e-01
mHEM,10,30,6.1305579214982083e+02,4.2539253444487919e+00,-2.0401561328592267e-02,4.2539742664769866e+00,-2.7478488758901104e-01
mHEM,10,30,6.3095734448019300e+02,4.2533146782676239e+00,-2.0370220976019152e-02,4.2533634571089074e+00,-2.7440216739548240e-01
mHEM,10,30,6.4938163157621136e+02,4.2526954926006715e+00,-2.0328963527715259e-02,4.2527440811250541e+00,-2.7388627806137367e-01
mHEM,10,30,6.6834391756861487e+02,4.2520676797549735e+00,-2.0277372929792585e-02,4.2521160291165359e+00,-2.7323155907824126e-01
mHEM,10,30,6.8785991230880745e+02,4.2514311312531508e+00,-2.0215019110595707e-02,4.2514791909153322e+00,-2.7243215599505771e-01
mHEM,10,30,7.0794578438413805e+02,4.2507857378396174e+00,-2.0141457779111575e-02,4.2508334556110485e+00,-2.7148201739972927e-01
mHEM,10,30,7.2861817451322736e+02,4.2501313895155386e+00,-2.0056230131332765e-02,4.2501787115970036e+00,-2.7037489064565090e-01
mHEM,10,30,7.4989420933245583e+02,4.2494679755676827e+00,-1.9958862414995608e-02,4.2495148466106336e+00,-2.6910431565539716e-01
mHEM,10,30,7.7179151558501269e+02,4.2487953846055788e+00,-1.9848865180451210e-02,4.2488417477819320e+00,-2.6766361447544817e-01
mHEM,10,30,7.9432823472428129e+02,4.2481135046085630e+00,-1.9725732284588578e-02,4.2481593016919472e+00,-2.6604587747915631e-01
mHEM,10,30,8.1752303794365014e+02,4.2474222229283107e+00,-1.9588942355413839e-02,4.2474673943996173e+00,-2.6424398274042565e-01
mHEM,10,30,8.4139514164519471e+02,4.2467214263621935e+00,-1.9437956245062754e-02,4.2467659115221705e+00,-2.6225056128848578e-01
mHEM,10,30,8.6596432336006535e+02,4.2460110012048222e+00,-1.9272217011430906e-02,4.2460547383071869e+00,-2.6005799643846711e-01
mHEM,10,30,8.9125093813374588e+02,4.2452908332590473e+00,-1.9091150412982909e-02,4.2453337596680649e+00,-2.5765843003709760e-01
mHEM,10,30,9.1727593538977942e+02,4.2445608079185773e+00,-1.8894163070464473e-02,4.2446028602822832e+00,-2.5504373720464418e-01
mHEM,10,30,9.4406087628592354e+02,4.2438208102132089e+00,-1.8680642776156841e-02,4.2438619246640465e+00,-2.5220553003333629e-01
mHEM,10,30,9.7162795157710582e+02,4.2430707248707309e+00,-1.8449957310098304e-02,4.2431108372489836e+00,-2.4913514111429313e-01
mHEM,10,30,1.0000000000000000e+03,4.2423104363751278e+00,-1.8201454267997619e-02,4.2423494824819414e+00,-2.4582362069652100e-01
mHEM,10,30,1.0292005271944286e+03,4.2415398290276771e+00,-1.7934460855242997e-02,4.2415777449098240e+00,-2.4226173337003318e-01
mHEM,10,30,1.0592537251772887e+03,4.2407587870434087e+00,-1.7648281892339995e-02,4.2407955093047853e+00,-2.3843993056391719e-01
mHEM,10,30,1.0901844923851279e+03,4.2399671946089352e+00,-1.7342200437564979e-02,4.2400026607628423e+00,-2.3434835836718376e-01
mHEM,10,30,1.1220184543019629e+03,4.2391649359572430e+00,-1.7015476945628341e-02,4.2391990848160299e+00,-2.2997684555453693e-01
mHEM,10,30,1.1547819846894581e+03,4.2383518954747119e+00,-1.6667348073716056e-02,4.2383846675786634e+00,-2.2531488681368209e-01
mHEM,10,30,1.1885022274370190e+03,4.2375279577892542e+00,-1.6297026234171966e-02,4.2375592958812556e+00,-2.2035163603272515e-01
mHEM,10,30,1.2232071190499314e+03,4.2366930078538605e+00,-1.5903699262808144e-02,4.2367228574038256e+00,-2.1507590112622030e-01
