solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,3,100,1.0000000000000000e+01,3.0817313467923693e+01,-9.6957013191972009e-03,3.0817314993147846e+01,-1.8026319758800188e-02
mHEM,3,100,1.3335214321633240e+01,3.0815802202802409e+01,-1.1184233317121754e-02,3.0815804232395376e+01,-2.0794829023328468e-02
mHEM,3,100,1.7782794100389228e+01,3.0814057026758473e+01,-1.2899082463384445e-02,3.0814059726602913e+01,-2.3984603550631183e-02
mHEM,3,100,2.3713737056616552e+01,3.0812041737647682e+01,-1.4873943291357094e-02,3.0812045327707992e+01,-2.7658475746946194e-02
mHEM,3,100,3.1622776601683793e+01,3.0809714531514089e+01,-1.7147268591288789e-02,3.0809719303203828e+01,-3.1888189616713025e-02
mHEM,3,100,4.2169650342858226e+01,3.0807027136504100e+01,-1.9762846239394536e-02,3.0807033475480750e+01,-3.6755494788181735e-02
mHEM,3,100,5.6234132519034908e+01,3.0803923813084154e+01,-2.2770419666614077e-02,3.0803932229088947e+01,-4.2353328586469688e-02
mHEM,3,100,7.4989420933245583e+01,3.0800340200299011e+01,-2.6226375436968676e-02,3.0800351366127689e+01,-4.8787131944843048e-02
mHEM,3,100,1.0000000000000000e+02,3.0796201984475957e+01,-3.0194472610026828e-02,3.0796216786722635e+01,-5.6176254841212914e-02
mHEM,3,100,1.3335214321633239e+02,3.0791423364047077e+01,-3.4746346232241189e-02,3.0791442968665187e+01,-6.4654956805551181e-02
mHEM,3,100,1.7782794100389228e+02,3.0785905278900124e+01,-3.9962259473275204e-02,3.0785931215793891e+01,-7.4373889637613724e-02
mHEM,3,100,2.3713737056616552e+02,3.0779533370361399e+01,-4.5931506237599729e-02,3.0779567641545199e+01,-8.5500955097265477e-02
mHEM,3,100,3.1622776601683796e+02,3.0772175631540058e+01,-5.2752750652125362e-02,3.0772220848535603e+01,-9.8222077158025708e-02
mHEM,3,100,4.2169650342858228e+02,3.0763679704261509e+01,-6.0533949860015222e-02,3.0763739260783581e+01,-1.1274123906048400e-01
mHEM,3,100,5.6234132519034904e+02,3.0753869772758929e+01,-6.9391859910848092e-02,3.0753948059233586e+01,-1.2927979430209402e-01
mHEM,3,100,7.4989420933245583e+02,3.0742543000462348e+01,-7.9450761241714504e-02,3.0742645666219723e+01,-1.4807438549911753e-01
mHEM,3,100,1.0000000000000000e+03,3.0729465451881044e+01,-9.0840146332269431e-02,3.0729599719009297e+01,-1.6937300268123182e-01
mHEM,3,100,1.3335214321633241e+03,3.0714367439703455e+01,-1.0369092022109722e-01,3.0714542468154267e+01,-1.9342835381043968e-01
mHEM,3,100,1.7782794100389228e+03,3.0696938239091640e+01,-1.1812948776560034e-01,3.0697165534141526e+01,-2.2048738613088364e-01
mHEM,3,100,2.3713737056616551e+03,3.0676820118493605e+01,-1.3426894606490594e-01,3.0677113957024890e+01,-2.5077549675901056e-01
mHEM,3,100,3.1622776601683795e+03,3.0653601654605705e+01,-1.5219628710742056e-01,3.0653979482426990e+01,-2.8447336637523513e-01
mHEM,3,100,4.2169650342858222e+03,3.0626810334221833e+01,-1.7195414740138501e-01,3.0627293048475664e+01,-3.2168362580245574e-01
mHEM,3,100,5.6234132519034911e+03,3.0595904507921936e+01,-1.9351518961507458e-01,3.0596516481235074e+01,-3.6238365784414955e-01
mHEM,3,100,7.4989420933245583e+03,3.0560264866939093e+01,-2.1674654464686569e-01,3.0561033487139930e+01,-4.0635950187189490e-01
mHEM,3,100,1.0000000000000000e+04,3.0519185789864526e+01,-2.4136094404857714e-01,3.0520140176309493e+01,-4.5311415682754480e-01
mHEM,3,100,1.3335214321633241e+04,3.0471867190315070e+01,-2.6685011946141224e-01,3.0473035606097017e+01,-5.0174131714330905e-01
mHEM,3,100,1.7782794100389227e+04,3.0417407952416411e+01,-2.9239470144934482e-01,3.0418813277397277e+01,-5.5075259473512095e-01
mHEM,3,100,2.3713737056616552e+04,3.0354802764247612e+01,-3.1674315758416011e-01,3.0356455278642972e+01,-5.9784237876949453e-01
mHEM,3,100,3.1622776601683792e+04,3.0282945300737438e+01,-3.3805019072449982e-01,3.0284832078433332e+01,-6.3956938527391793e-01
