f,|Z_conventional1|,arg_conventional1_deg,|Z_conventional2|,arg_conventional2_deg,|Z_narrow|,arg_narrow_deg,|Z_unconventional|,arg_unconventional_deg
1.000e+02,1.068511e+02,-0.074,7.834403e+01,-0.102,1.049000e+02,-0.076,5.574507e+01,-0.143
1.778e+02,1.068041e+02,-0.099,7.829697e+01,-0.135,1.048529e+02,-0.101,5.569803e+01,-0.190
3.162e+02,1.067413e+02,-0.131,7.823426e+01,-0.180,1.047902e+02,-0.133,5.563535e+01,-0.251
5.623e+02,1.066577e+02,-0.172,7.815071e+01,-0.238,1.047065e+02,-0.175,5.555184e+01,-0.332
1.000e+03,1.065462e+02,-0.227,7.803944e+01,-0.314,1.045951e+02,-0.231,5.544059e+01,-0.438
1.778e+03,1.063978e+02,-0.297,7.789131e+01,-0.414,1.044466e+02,-0.302,5.529239e+01,-0.575
3.162e+03,1.062000e+02,-0.386,7.769416e+01,-0.542,1.042488e+02,-0.392,5.509484e+01,-0.750
5.623e+03,1.059362e+02,-0.496,7.743172e+01,-0.706,1.039849e+02,-0.504,5.483113e+01,-0.970
1.000e+04,1.055832e+02,-0.631,7.708183e+01,-0.912,1.036317e+02,-0.640,5.447778e+01,-1.239
1.778e+04,1.051065e+02,-0.785,7.661284e+01,-1.163,1.031546e+02,-0.795,5.400026e+01,-1.553
3.162e+04,1.044482e+02,-0.948,7.597480e+01,-1.458,1.024960e+02,-0.957,5.334280e+01,-1.888
5.623e+04,1.034912e+02,-1.082,7.507483e+01,-1.775,1.015405e+02,-1.084,5.240301e+01,-2.168
1.000e+05,1.019623e+02,-1.071,7.370894e+01,-2.023,1.000217e+02,-1.056,5.096835e+01,-2.174
1.778e+05,9.922344e+01,-0.486,7.141923e+01,-1.820,9.732840e+01,-0.428,4.859992e+01,-1.179
3.162e+05,9.455323e+01,2.538,6.770851e+01,0.581,9.283761e+01,2.693,4.492320e+01,3.655
5.623e+05,9.518525e+01,13.874,6.758540e+01,10.593,9.407186e+01,14.027,4.539415e+01,20.122
1.000e+06,1.492591e+02,20.417,1.006888e+02,15.126,1.469227e+02,19.385,7.489463e+01,23.882
